"makeIds, Make"
"4, Acura"
"124, Alfa Romeo"
"110, Aston Martin"
"19, Audi"
"119, Austin"
"139, Austin-Healey"
"20, Bentley"
"3, BMW"
"21, Buick"
"22, Cadillac"
"1, Chevrolet"
"23, Chrysler"
"96, Datsun"
"24, Dodge"
"25, Ferrari"
"98, FIAT"
"2, Ford"
"99, Freightliner"
"203, Genesis"
"26, GMC"
"6, Honda"
"27, Hummer"
"28, Hyundai"
"84, INFINITI"
"30, Isuzu"
"31, Jaguar"
"32, Jeep"
"233, Karma"
"33, Kia"
"155, Lada"
"34, Lamborghini"
"35, Land Rover"
"37, Lexus"
"38, Lincoln"
"39, Lotus"
"40, Maserati"
"42, Mazda"
"141, McLaren"
"43, Mercedes-Benz"
"44, Mercury"
"102, MG"
"45, MINI"
"46, Mitsubishi"
"154, Moskvitch"
"12, Nissan"
"85, Oldsmobile"
"87, Plymouth"
"47, Pontiac"
"48, Porsche"
"191, RAM"
"49, Rolls-Royce"
"50, Saab"
"51, Saturn"
"52, Scion"
"111, smart"
"53, Subaru"
"54, Suzuki"
"112, Tesla"
"7, Toyota"
"137, Triumph"
"55, Volkswagen"
"56, Volvo"
