Zip_Code,Year,Body,bodyTypeGroupIds,Make,Miles
03103,2000,Convertible,bg1,Acura,50
03103,2000,Coupe,bg0,Acura,50
03103,2000,Hatchback,bg3,Acura,50
03103,2000,Minivan,bg4,Acura,50
03103,2000,Pickup,bg5,Acura,50
03103,2000,Sedan,bg6,Acura,50
03103,2000,SUV,bg7,Acura,50
03103,2000,Van,bg8,Acura,50
03103,2000,Wagon,bg9,Acura,50
03103,2000,Convertible,bg1,Alfa Romeo,50
03103,2000,Coupe,bg0,Alfa Romeo,50
03103,2000,Hatchback,bg3,Alfa Romeo,50
03103,2000,Minivan,bg4,Alfa Romeo,50
03103,2000,Pickup,bg5,Alfa Romeo,50
03103,2000,Sedan,bg6,Alfa Romeo,50
03103,2000,SUV,bg7,Alfa Romeo,50
03103,2000,Van,bg8,Alfa Romeo,50
03103,2000,Wagon,bg9,Alfa Romeo,50
03103,2000,Convertible,bg1,Aston Martin,50
03103,2000,Coupe,bg0,Aston Martin,50
03103,2000,Hatchback,bg3,Aston Martin,50
03103,2000,Minivan,bg4,Aston Martin,50
03103,2000,Pickup,bg5,Aston Martin,50
03103,2000,Sedan,bg6,Aston Martin,50
03103,2000,SUV,bg7,Aston Martin,50
03103,2000,Van,bg8,Aston Martin,50
03103,2000,Wagon,bg9,Aston Martin,50
03103,2000,Convertible,bg1,Audi,50
03103,2000,Coupe,bg0,Audi,50
03103,2000,Hatchback,bg3,Audi,50
03103,2000,Minivan,bg4,Audi,50
03103,2000,Pickup,bg5,Audi,50
03103,2000,Sedan,bg6,Audi,50
03103,2000,SUV,bg7,Audi,50
03103,2000,Van,bg8,Audi,50
03103,2000,Wagon,bg9,Audi,50
03103,2000,Convertible,bg1,Austin,50
03103,2000,Coupe,bg0,Austin,50
03103,2000,Hatchback,bg3,Austin,50
03103,2000,Minivan,bg4,Austin,50
03103,2000,Pickup,bg5,Austin,50
03103,2000,Sedan,bg6,Austin,50
03103,2000,SUV,bg7,Austin,50
03103,2000,Van,bg8,Austin,50
03103,2000,Wagon,bg9,Austin,50
03103,2000,Convertible,bg1,Austin-Healey,50
03103,2000,Coupe,bg0,Austin-Healey,50
03103,2000,Hatchback,bg3,Austin-Healey,50
03103,2000,Minivan,bg4,Austin-Healey,50
03103,2000,Pickup,bg5,Austin-Healey,50
03103,2000,Sedan,bg6,Austin-Healey,50
03103,2000,SUV,bg7,Austin-Healey,50
03103,2000,Van,bg8,Austin-Healey,50
03103,2000,Wagon,bg9,Austin-Healey,50
03103,2000,Convertible,bg1,Bentley,50
03103,2000,Coupe,bg0,Bentley,50
03103,2000,Hatchback,bg3,Bentley,50
03103,2000,Minivan,bg4,Bentley,50
03103,2000,Pickup,bg5,Bentley,50
03103,2000,Sedan,bg6,Bentley,50
03103,2000,SUV,bg7,Bentley,50
03103,2000,Van,bg8,Bentley,50
03103,2000,Wagon,bg9,Bentley,50
03103,2000,Convertible,bg1,BMW,50
03103,2000,Coupe,bg0,BMW,50
03103,2000,Hatchback,bg3,BMW,50
03103,2000,Minivan,bg4,BMW,50
03103,2000,Pickup,bg5,BMW,50
03103,2000,Sedan,bg6,BMW,50
03103,2000,SUV,bg7,BMW,50
03103,2000,Van,bg8,BMW,50
03103,2000,Wagon,bg9,BMW,50
03103,2000,Convertible,bg1,Buick,50
03103,2000,Coupe,bg0,Buick,50
03103,2000,Hatchback,bg3,Buick,50
03103,2000,Minivan,bg4,Buick,50
03103,2000,Pickup,bg5,Buick,50
03103,2000,Sedan,bg6,Buick,50
03103,2000,SUV,bg7,Buick,50
03103,2000,Van,bg8,Buick,50
03103,2000,Wagon,bg9,Buick,50
03103,2000,Convertible,bg1,Cadillac,50
03103,2000,Coupe,bg0,Cadillac,50
03103,2000,Hatchback,bg3,Cadillac,50
03103,2000,Minivan,bg4,Cadillac,50
03103,2000,Pickup,bg5,Cadillac,50
03103,2000,Sedan,bg6,Cadillac,50
03103,2000,SUV,bg7,Cadillac,50
03103,2000,Van,bg8,Cadillac,50
03103,2000,Wagon,bg9,Cadillac,50
03103,2000,Convertible,bg1,Chevrolet,50
03103,2000,Coupe,bg0,Chevrolet,50
03103,2000,Hatchback,bg3,Chevrolet,50
03103,2000,Minivan,bg4,Chevrolet,50
03103,2000,Pickup,bg5,Chevrolet,50
03103,2000,Sedan,bg6,Chevrolet,50
03103,2000,SUV,bg7,Chevrolet,50
03103,2000,Van,bg8,Chevrolet,50
03103,2000,Wagon,bg9,Chevrolet,50
03103,2000,Convertible,bg1,Chrysler,50
03103,2000,Coupe,bg0,Chrysler,50
03103,2000,Hatchback,bg3,Chrysler,50
03103,2000,Minivan,bg4,Chrysler,50
03103,2000,Pickup,bg5,Chrysler,50
03103,2000,Sedan,bg6,Chrysler,50
03103,2000,SUV,bg7,Chrysler,50
03103,2000,Van,bg8,Chrysler,50
03103,2000,Wagon,bg9,Chrysler,50
03103,2000,Convertible,bg1,Datsun,50
03103,2000,Coupe,bg0,Datsun,50
03103,2000,Hatchback,bg3,Datsun,50
03103,2000,Minivan,bg4,Datsun,50
03103,2000,Pickup,bg5,Datsun,50
03103,2000,Sedan,bg6,Datsun,50
03103,2000,SUV,bg7,Datsun,50
03103,2000,Van,bg8,Datsun,50
03103,2000,Wagon,bg9,Datsun,50
03103,2000,Convertible,bg1,Dodge,50
03103,2000,Coupe,bg0,Dodge,50
03103,2000,Hatchback,bg3,Dodge,50
03103,2000,Minivan,bg4,Dodge,50
03103,2000,Pickup,bg5,Dodge,50
03103,2000,Sedan,bg6,Dodge,50
03103,2000,SUV,bg7,Dodge,50
03103,2000,Van,bg8,Dodge,50
03103,2000,Wagon,bg9,Dodge,50
03103,2000,Convertible,bg1,Ferrari,50
03103,2000,Coupe,bg0,Ferrari,50
03103,2000,Hatchback,bg3,Ferrari,50
03103,2000,Minivan,bg4,Ferrari,50
03103,2000,Pickup,bg5,Ferrari,50
03103,2000,Sedan,bg6,Ferrari,50
03103,2000,SUV,bg7,Ferrari,50
03103,2000,Van,bg8,Ferrari,50
03103,2000,Wagon,bg9,Ferrari,50
03103,2000,Convertible,bg1,FIAT,50
03103,2000,Coupe,bg0,FIAT,50
03103,2000,Hatchback,bg3,FIAT,50
03103,2000,Minivan,bg4,FIAT,50
03103,2000,Pickup,bg5,FIAT,50
03103,2000,Sedan,bg6,FIAT,50
03103,2000,SUV,bg7,FIAT,50
03103,2000,Van,bg8,FIAT,50
03103,2000,Wagon,bg9,FIAT,50
03103,2000,Convertible,bg1,Ford,50
03103,2000,Coupe,bg0,Ford,50
03103,2000,Hatchback,bg3,Ford,50
03103,2000,Minivan,bg4,Ford,50
03103,2000,Pickup,bg5,Ford,50
03103,2000,Sedan,bg6,Ford,50
03103,2000,SUV,bg7,Ford,50
03103,2000,Van,bg8,Ford,50
03103,2000,Wagon,bg9,Ford,50
03103,2000,Convertible,bg1,Freightliner,50
03103,2000,Coupe,bg0,Freightliner,50
03103,2000,Hatchback,bg3,Freightliner,50
03103,2000,Minivan,bg4,Freightliner,50
03103,2000,Pickup,bg5,Freightliner,50
03103,2000,Sedan,bg6,Freightliner,50
03103,2000,SUV,bg7,Freightliner,50
03103,2000,Van,bg8,Freightliner,50
03103,2000,Wagon,bg9,Freightliner,50
03103,2000,Convertible,bg1,Genesis,50
03103,2000,Coupe,bg0,Genesis,50
03103,2000,Hatchback,bg3,Genesis,50
03103,2000,Minivan,bg4,Genesis,50
03103,2000,Pickup,bg5,Genesis,50
03103,2000,Sedan,bg6,Genesis,50
03103,2000,SUV,bg7,Genesis,50
03103,2000,Van,bg8,Genesis,50
03103,2000,Wagon,bg9,Genesis,50
03103,2000,Convertible,bg1,GMC,50
03103,2000,Coupe,bg0,GMC,50
03103,2000,Hatchback,bg3,GMC,50
03103,2000,Minivan,bg4,GMC,50
03103,2000,Pickup,bg5,GMC,50
03103,2000,Sedan,bg6,GMC,50
03103,2000,SUV,bg7,GMC,50
03103,2000,Van,bg8,GMC,50
03103,2000,Wagon,bg9,GMC,50
03103,2000,Convertible,bg1,Honda,50
03103,2000,Coupe,bg0,Honda,50
03103,2000,Hatchback,bg3,Honda,50
03103,2000,Minivan,bg4,Honda,50
03103,2000,Pickup,bg5,Honda,50
03103,2000,Sedan,bg6,Honda,50
03103,2000,SUV,bg7,Honda,50
