Make_Code,Make,Model_Code,Model,Year_Code,Year,Trim_Code,Trim,Zip_Code,Miles,Model_Count,Trim_Count,Body
m4,Acura,d2137,ILX,c30986,2021,"['t95590', 't95587', 't95589', 't95588']","['FWD with Technology and A-SPEC Package ', 'FWD ', 'FWD with Premium and A-SPEC Package ', 'FWD with Premium Package ']",03103,50,0,0,NA
m4,Acura,d921,RDX,c30789,2021,"['t93984', 't94053', 't93964', 't94050', 't93985', 't94052', 't93986', 't94054', 't94051']","['FWD ', 'SH-AWD with A-Spec Package ', 'SH-AWD with Platinum Elite Package ', 'FWD with A-Spec Package', 'SH-AWD', 'SH-AWD with Advance Package ', 'SH-AWD with Technology Package ', 'FWD with Advance Package ', 'FWD with Technology Package ']",03103,50,0,0,NA
m4,Acura,d2278,TLX,c30612,2021,"['t94676', 't94679', 't94681', 't94682', 't94637', 't94677', 't94678', 't94680', 't94638']","['FWD with Technology Package ', 'SH-AWD ', 'SH-AWD with A-Spec Package ', 'SH-AWD with Advance Package ', 'SH-AWD with Platinum Elite Package ', 'FWD ', 'FWD with A-Spec Package ', 'FWD with Advance Package ', 'SH-AWD with Technology Package ']",03103,50,0,0,NA
m124,Alfa Romeo,d1751,Giulia,c31002,2021,"['t95271', 't95277', 't95272', 't95273', 't95275', 't95276', 't95274']","['AWD ', 'Quadrifoglio RWD ', 'RWD ', 'Ti AWD ', 'Ti Sport AWD ', 'Ti Sport RWD ', 'Ti RWD ']",03103,50,0,0,NA
m124,Alfa Romeo,d2512,Stelvio,c31003,2021,['-3'],['NOT ENOUGH DATA'],03103,50,0,0,NA
m19,Audi,d25,A4,c30578,2021,"['t93503', 't93507', 't93502', 't93505', 't93506', 't93504']","['2.0T quattro Premium Plus 40 TFSI Sedan AWD ', '2.0T quattro Premium Plus 45 TFSI Sedan AWD ', '2.0T quattro Premium 40 TFSI Sedan AWD ', '2.0T quattro Prestige 40 TFSI Sedan AWD ', '2.0T quattro Premium 45 TFSI Sedan AWD ', '2.0T quattro Prestige 45 TFSI Sedan AWD ']",03103,50,0,0,NA
m19,Audi,d2149,A4 Allroad,c30619,2021,"['t94523', 't94524', 't94525']","['2.0T quattro Premium AWD ', '2.0T quattro Premium Plus AWD ', '2.0T quattro Prestige AWD ']",03103,50,0,0,NA
m19,Audi,d1034,A5,c30579,2021,"['t93508', 't93509', 't93511', 't93512', 't93513', 't93510', 't95648']","['2.0T quattro Premium Convertible AWD ', '2.0T quattro Premium Plus Convertible AWD ', '2.0T quattro Premium Plus Coupe AWD ', '2.0T quattro Prestige Convertible AWD ', '2.0T quattro Prestige Coupe AWD ', '2.0T quattro Premium Coupe AWD ', '2.0T quattro Technik Coupe AWD ']",03103,50,0,0,NA
m19,Audi,d2508,A5 Sportback,c30620,2021,"['t94527', 't94528', 't95650', 't94526', 't95649']","['2.0T quattro Premium Plus AWD ', '2.0T quattro Prestige AWD ', '2.0T quattro Technik AWD ', '2.0T quattro Premium AWD ', '2.0T quattro Progressiv AWD ']",03103,50,0,0,NA
m19,Audi,d27,A6,c30580,2021,"['t93514', 't93515', 't93516', 't93517', 't93518', 't93519']","['2.0T quattro Premium Plus Sedan AWD ', '2.0T quattro Premium Sedan AWD ', '2.0T quattro Prestige Sedan AWD ', '3.0T quattro Premium Plus Sedan AWD ', '3.0T quattro Premium Sedan AWD ', '3.0T quattro Prestige Sedan AWD ']",03103,50,0,0,NA
m19,Audi,d2201,A6 Allroad,c30621,2021,"['t94879', 't94920', 't94880', 't94921']","['3.0T quattro Prestige AWD ', '3.0T quattro Progressiv AWD ', '3.0T quattro Premium Plus AWD ', '3.0T quattro Technik AWD ']",03103,50,0,0,NA
m19,Audi,d2113,A7,c30581,2021,"['t93524', 't93525', 't93521', 't93522', 't93523']","['3.0T e quattro Premium Plus AWD ', '3.0T e quattro Prestige AWD ', '3.0T quattro Premium AWD ', '3.0T quattro Premium Plus AWD ', '3.0T quattro Prestige AWD ']",03103,50,0,0,NA
m19,Audi,d29,A8,c30582,2021,"['t95164', 't95165']","['L 3.0T quattro AWD ', 'L 4.0T quattro AWD ']",03103,50,0,0,NA
m19,Audi,d3037,A8 Hybrid Plug-In,c30987,2021,['t95166'],['L 3.0T e quattro '],03103,50,0,0,NA
m19,Audi,d2129,Q3,c30583,2021,"['t94683', 't94684', 't94230', 't93988', 't94371']","['2.0T quattro Premium Plus S Line AWD', '2.0T quattro Premium S Line AWD', '2.0T quattro Komfort AWD ', '2.0T quattro Progressiv AWD ', '2.0T quattro Technik AWD ']",03103,50,0,0,NA
m19,Audi,d1988,Q5,c30823,2021,"['t94882', 't94912', 't94883', 't94881', 't94914', 't94913']","['2.0T quattro Premium AWD', '2.0T quattro Komfort AWD ', '2.0T quattro Premium Plus AWD ', '2.0T quattro Prestige AWD ', '2.0T quattro Technik AWD ', '2.0T quattro Progressiv AWD ']",03103,50,0,0,NA
m19,Audi,d2970,Q5 Hybrid Plug-in,c30988,2021,"['t94884', 't94885', 't94886']","['3.0T Premium e quattro AWD ', '3.0T Premium Plus e quattro AWD ', '3.0T Prestige e quattro AWD ']",03103,50,0,0,NA
m19,Audi,d930,Q7,c30584,2021,"['t94386', 't94385', 't94389', 't94922', 't94923', 't94924', 't94387', 't94388', 't94925', 't94926']","['2.0T quattro Premium Plus AWD ', '2.0T quattro Premium AWD ', '3.0T quattro Prestige AWD ', '2.0T quattro Komfort AWD ', '2.0T quattro Progressiv AWD ', '3.0T quattro Komfort AWD ', '3.0T quattro Premium AWD ', '3.0T quattro Premium Plus AWD ', '3.0T quattro Progressiv AWD ', '3.0T quattro Technik AWD ']",03103,50,0,0,NA
m19,Audi,d2792,Q8,c30585,2021,"['t94939', 't94940', 't94938', 't94915', 't94916', 't94917']","['3.0T quattro Premium Plus AWD ', '3.0T quattro Prestige AWD ', '3.0T quattro Premium AWD ', '3.0T quattro Progressiv AWD ', '3.0T quattro Progressiv FWD ', '3.0T quattro Technik AWD ']",03103,50,0,0,NA
m19,Audi,d2136,RS 5,c31057,2021,['t95765'],['quattro Coupe AWD '],03103,50,0,0,NA
m19,Audi,d2700,RS 5 Sportback,c31056,2021,['t95764'],['2.9T quattro AWD '],03103,50,0,0,NA
m19,Audi,d2965,RS 6 Avant,c30796,2021,['t93990'],['4.0T quattro AWD '],03103,50,0,0,NA
m19,Audi,d2230,RS 7,c30361,2021,['t93992'],['4.0T quattro AWD '],03103,50,0,0,NA
m19,Audi,d2993,RS Q8,c30797,2021,['t93991'],['4.0T quattro AWD '],03103,50,0,0,NA
m19,Audi,d30,S4,c30622,2021,"['t94530', 't94529', 't94531', 't93954']","['3.0T quattro Premium AWD ', '3.0T quattro Premium Plus AWD ', '3.0T quattro Prestige AWD ', '3.0T quattro Progressiv AWD ']",03103,50,0,0,NA
m19,Audi,d1055,S5,c30623,2021,"['t94532', 't94534', 't94536', 't94535', 't94537', 't94533']","['3.0T quattro Premium Cabriolet AWD ', '3.0T quattro Premium Coupe AWD ', '3.0T quattro Premium Plus Cabriolet AWD ', '3.0T quattro Premium Plus Coupe AWD ', '3.0T quattro Prestige Cabriolet AWD ', '3.0T quattro Prestige Coupe AWD ']",03103,50,0,0,NA
m19,Audi,d2509,S5 Sportback,c30624,2021,"['t94540', 't94539', 't94538', 't95651']","['3.0T quattro Prestige AWD ', '3.0T quattro Premium Plus AWD ', '3.0T quattro Premium AWD ', '3.0T quattro Technik AWD ']",03103,50,0,0,NA
m19,Audi,d687,S6,c30625,2021,"['t95168', 't95167']","['2.9T quattro Prestige Sedan AWD ', '2.9T quattro Premium Plus Sedan AWD ']",03103,50,0,0,NA
m19,Audi,d2156,S7,c30626,2021,"['t95278', 't95279']","['3.0T quattro Premium Plus AWD ', '3.0T quattro Prestige AWD ']",03103,50,0,0,NA
m19,Audi,d688,S8,c30627,2021,['t95169'],['4.0T quattro AWD '],03103,50,0,0,NA
m19,Audi,d2237,SQ5,c30824,2021,"['t94887', 't94888', 't94889', 't94890', 't94891']","['3.0T quattro Premium AWD ', '3.0T quattro Premium Plus AWD ', '3.0T quattro Prestige AWD ', '3.0T quattro Progressiv AWD ', '3.0T quattro Technik AWD ']",03103,50,0,0,NA
m19,Audi,d3019,SQ7,c30628,2021,"['t95217', 't95216']","['4.0T quattro Prestige AWD ', '4.0T quattro Premium Plus AWD ']",03103,50,0,0,NA
m19,Audi,d3020,SQ8,c30629,2021,"['t94927', 't94941', 't94942']","['4.0T quattro AWD ', '4.0T quattro Premium Plus AWD ', '4.0T quattro Prestige AWD ']",03103,50,0,0,NA
m19,Audi,d32,TT,c30586,2021,['-3'],['NOT ENOUGH DATA'],03103,50,0,0,NA
m19,Audi,d2177,TT RS,c30825,2021,['-3'],['NOT ENOUGH DATA'],03103,50,0,0,NA
m19,Audi,d2829,e-tron,c30827,2021,"['t94943', 't94945', 't94949', 't94944', 't94950', 't94892', 't94947', 't94893', 't94948', 't94946']","['Premium Plus quattro SUV AWD ', 'Premium quattro SUV AWD ', 'Premium quattro Sportback AWD ', 'Prestige quattro SUV AWD ', 'Prestige quattro Sportback AWD ', 'Progressiv quattro SUV AWD ', 'Progressiv quattro Sportback AWD ', 'Technik quattro SUV AWD ', 'Premium Plus quattro Sportback AWD ', 'Technik quattro Sportback AWD ']",03103,50,0,0,NA
m3,BMW,d2262,2 Series,c30833,2021,"['t94685', 't94687', 't94688', 't94689', 't94690', 't94686', 't94691', 't94692', 't94693', 't94694']","['228i xDrive Gran Coupe AWD', '230i Coupe RWD', '230i xDrive Convertible AWD', '230i xDrive Coupe AWD', 'M235i xDrive Gran Coupe AWD', '230i Convertible RWD ', 'M240i Convertible RWD ', 'M240i Coupe RWD ', 'M240i xDrive Convertible AWD ', 'M240i xDrive Coupe AWD ']",03103,50,0,0,NA
m3,BMW,d1512,3 Series,c30415,2021,"['t93526', 't93213', 't92957', 't92956', 't92959', 't92958']","['300e xDrive Hybrid Plug-in AWD', '330e Hybrid Plug-in RWD', '330i xDrive AWD', '330i RWD ', 'M340i xDrive AWD ', 'M340i RWD']",03103,50,0,0,NA
m3,BMW,d2244,4 Series,c30666,2021,"['t95280', 't95281', 't95282']","['430i Coupe RWD ', '430i xDrive Coupe AWD ', 'M440i xDrive Coupe AWD ']",03103,50,0,0,NA
m3,BMW,d1628,5 Series,c30835,2021,"['t94390', 't94392', 't94394', 't94396', 't94395', 't94391', 't94393']","['530e Hybrid Plug-in RWD', '530i RWD', '540i RWD', 'M550i xDrive AWD ', '540i xDrive AWD', '530e xDrive Hybrid Plug-in AWD ', '530i xDrive AWD']",03103,50,0,0,NA
m3,BMW,d1517,7 Series,c30414,2021,"['t92937', 't93208', 't93209', 't93210', 't92936', 't93211']","['740i xDrive AWD', '745e xDrive AWD ', '750i xDrive AWD ', 'Alpina B7 xDrive AWD ', '740i RWD ', 'M760i xDrive AWD ']",03103,50,0,0,NA
m3,BMW,d1627,8 Series,c30831,2021,['-3'],['NOT ENOUGH DATA'],03103,50,0,0,NA
m3,BMW,d2396,M2,c30839,2021,['t95283'],['Competition RWD '],03103,50,0,0,NA
m3,BMW,d390,M3,c30940,2021,['-3'],['NOT ENOUGH DATA'],03103,50,0,0,NA
m3,BMW,d2258,M4,c30941,2021,['-3'],['NOT ENOUGH DATA'],03103,50,0,0,NA
m3,BMW,d391,M5,c30829,2021,['t95218'],['AWD '],03103,50,0,0,NA
m3,BMW,d2902,M8,c30843,2021,['t95219'],['Gran Coupe AWD '],03103,50,0,0,NA
m3,BMW,d2160,X1,c30840,2021,"['t94397', 't94398']","['sDrive28i FWD', 'xDrive28i AWD']",03103,50,0,0,NA
m3,BMW,d2623,X2,c30841,2021,"['t95171', 't95172', 't95170']","['sDrive28i FWD', 'xDrive28i AWD ', 'M35i AWD ']",03103,50,0,0,NA
m3,BMW,d392,X3,c30832,2021,"['t94266', 't94269', 't94268', 't94267']","['M40i AWD', 'xDrive30i AWD', 'xDrive30e AWD ', 'sDrive30i RWD']",03103,50,0,0,NA
m3,BMW,d2847,X3 M,c30499,2021,['t93212'],['AWD '],03103,50,0,0,NA
m3,BMW,d2271,X4,c30838,2021,"['t94400', 't94399']","['xDrive30i AWD', 'M40i AWD ']",03103,50,0,0,NA
m3,BMW,d2848,X4 M,c30500,2021,['t93223'],['AWD '],03103,50,0,0,NA
m3,BMW,d393,X5,c30836,2021,"['t94403', 't94270', 't94402', 't94401']","['xDrive40i AWD', 'xDrive45e AWD', 'sDrive40i RWD ', 'M50i xDrive AWD']",03103,50,0,0,NA
m3,BMW,d2120,X5 M,c30837,2021,['t94271'],['AWD '],03103,50,0,0,NA
m3,BMW,d1137,X6,c30834,2021,"['t94404', 't94405', 't94406']","['M50i AWD ', 'sDrive40i RWD ', 'xDrive40i AWD ']",03103,50,0,0,NA
m3,BMW,d2139,X6 M,c30842,2021,['t94272'],['AWD '],03103,50,0,0,NA
m3,BMW,d2656,X7,c30830,2021,"['t94407', 't95284', 't94644']","['xDrive40i AWD', 'Alpina XB7 AWD ', 'M50i AWD ']",03103,50,0,0,NA
m3,BMW,d395,Z4,c30828,2021,"['t95593', 't95592']","['sDrive30i RWD ', 'M40i RWD ']",03103,50,0,0,NA
m21,Buick,d1029,Enclave,c30844,2021,"['t95070', 't95072', 't95073', 't95074', 't95075', 't95076', 't95071']","['Avenir AWD ', 'Essence AWD ', 'Essence FWD ', 'Preferred FWD ', 'Premium AWD ', 'Premium FWD ', 'Avenir FWD ']",03103,50,0,0,NA
m21,Buick,d2128,Encore,c30337,2021,"['t91943', 't91942', 't91944']","['FWD ', 'Preferred AWD ', 'Preferred FWD ']",03103,50,0,0,NA
m21,Buick,d2901,Encore GX,c30418,2021,"['t92973', 't92976', 't92974', 't92977', 't92975', 't92978']","['Essence AWD ', 'Essence FWD ', 'Preferred AWD ', 'Preferred FWD ', 'Select AWD ', 'Select FWD ']",03103,50,0,0,NA
m22,Cadillac,d2963,CT4,c30845,2021,"['t94695', 't94697', 't94701', 't94698', 't94699', 't94696', 't94702', 't94700']","['Luxury AWD ', 'Premium Luxury AWD ', 'V-Series AWD ', 'Premium Luxury RWD ', 'Sport AWD ', 'Luxury RWD ', 'V-Series RWD ', 'Sport RWD ']",03103,50,0,0,NA
m22,Cadillac,d2876,CT5,c30846,2021,"['t94703', 't94704', 't94705', 't94706', 't94707', 't94708', 't94709', 't94710']","['Luxury Sedan AWD ', 'Luxury Sedan RWD ', 'Premium Luxury Sedan AWD ', 'Premium Luxury Sedan RWD ', 'Sport Sedan AWD ', 'Sport Sedan RWD ', 'V-Series AWD ', 'V-Series RWD ']",03103,50,0,0,NA
m22,Cadillac,d142,Escalade,c30074,2021,"['t93527', 't93534', 't93530', 't93529', 't93532', 't93531', 't93528', 't93536', 't93535', 't93533']","['Premium Luxury 4WD', 'Sport AWD', 'Luxury 4WD ', 'Luxury RWD ', 'Premium Luxury Platinum AWD ', 'Premium Luxury Platinum RWD ', 'Premium Luxury RWD ', 'Sport Platinum AWD ', 'Sport Platinum RWD ', 'Sport RWD ']",03103,50,0,0,NA
m22,Cadillac,d143,Escalade ESV,c30616,2021,"['t93541', 't93542', 't93539', 't93923', 't93924', 't93540', 't93538', 't93543', 't93544', 't93537']","['Luxury AWD ', 'Luxury RWD ', 'Premium Luxury AWD ', 'Premium Luxury Platinum AWD ', 'Premium Luxury Platinum RWD ', 'Premium Luxury RWD ', 'Sport AWD ', 'Sport Platinum AWD ', 'Sport Platinum RWD ', 'Sport RWD ']",03103,50,0,0,NA
m22,Cadillac,d2673,XT4,c30969,2021,"['t95349', 't95350', 't95352', 't95353', 't95354', 't95351']","['Luxury AWD ', 'Luxury FWD ', 'Premium Luxury FWD ', 'Sport AWD ', 'Sport FWD ', 'Premium Luxury AWD ']",03103,50,0,0,NA
